index,source,target
0,"If you need something,
I will exchange them for gems nya!",
1,気をつけて行くのニャ！,
2,"あっハンターさん！
この先はちょっとマズい感じがするのニャ。
イヤ〜な寒い空気がココまで流れてきてるニャ。",
3,かなりの「テダレ」じゃないと、突破は難しいと思うニャ。ヤツと戦うというニャらバンゼンの準備を整えていくことニャ！,
4,"何か必要なものがあれば、
ボクがジェムと交換するニャ！",
5,"あっそうだニャ！
この先の扉は{c02}一度進んだら戻れない{/c}みたいニャ。
クレグレも気をつけて行くのニャ！",
6,Nya? Not enough preparation?,
7,"Please be careful on your way, nya!",
8,"ハンターさん、はじめましてですニャ。
天廊調査の頼れる味方、{c05}≪天廊ネコ≫{/c}とはボクのことだニャ！",
9,本来ならば、天廊調査をする人にジェムと交換で必要な物をお渡しするのがボクのおしごとニャんですけど、,
10,"This time it is still in the sky corridor survey
As an unfamiliar hunter's senpai
I'll teach you how to take a step!
Nice to meet you!",
11,"First of all, the place where we are now, this is inside the heavenly corridor. 
Apparently, there are traps here and there, so it's a really cool place.",
12,"For example, I want you to see the stairs that have just come up.
When you go up the stairs, the door closes, so once you go upstairs, you can't go back down.",
13,"だけど、安心するニャ。
このあたりは特別で、調査の結果、安全が確保されているとギルドの人が言っていたニャ。",
14,"So, learn the Kihon of the sky corridor survey here,
I want you to use it for future research.",
15,"Well then, let's start right away!
I will teach you the important things each time, so
Anyway, let's go dong dong!",
16,"Hunter, thank you for your hard work.
Would you like to hear about the sky corridor again?",
17,It seems that Felyne hasn't returned yet. I'm worried ...,
18,"Nya! Hunter,
It looks like you're having trouble investigating, right?
To help the hunter who is in trouble
My work.
I want my gem to be useful for investigation.",
19,"I'm in trouble.
It looks like there is a lost Felyne.
Hunter, please.
I want you to use this gem to find the lost Felyne.",
20,"Nya! Hunter,
It looks like you're having trouble investigating, right?
The future is extremely dangerous!
Take this gem and get ready!",
21,"あっハンターさん！
この先はちょっとマズい感じがするのニャ。
イヤーなピリピリした空気がココまで流れてきてるニャ。",
