index,source,target
0,"選択中のアイテムを捨てます。
よろしいですか？",
1,渡す相手を選択して下さい。,Sélectionne un destinataire.
2,よろしいですか？,Confirmer ?
3,渡す個数を選択して下さい。,Choisis combien en donner.
4,納品する個数を選択して下さい。,
5,"アイテムを納品します。
よろしいですか？",
6,"並べ替えてよろしいですか？
‾C05弾・ビンは専用ポーチに収納されます","Veux-tu trier tes objets ?
‾C05Les munitions et flacons seront rangés dans la sacoche dédiée"
7,入れ替え先を選んで下さい。,Sélectionne la destination de l'objet.
8,"登録するファンクションキーを
押してください。
（{K012}でページ切り替え）",
9,,
10,‾C02未調合‾C00,‾C02Non combiné‾C00
11,素材がありません。,Tu n'as pas les matériaux.
12,このアイテムはこれ以上持てません。,
13,ポーチに空きがありません。,Votre sac d'objets est plein.
14,２種類のアイテムを調合します。,Combiner 2 types d'objets.
15,３種類のアイテムを調合します。,Combiner 3 types d'objets.
16,調合リストを開きます。,Ouvrir la liste de combinaison.
17,"調合のレシピが確認できます。
レシピアイテムを購入していないと
選べません。",
18,アイテムボックスに空きがありません,
19,,
20,"これ以上アイテムを持てません。
処理方法を選択して下さい。",
21,どのアイテムと入れ替えますか？,Échanger contre quel objet ?
22,"アイテムを入れ替えます。
よろしいですか？",
23,,
24,dummy,
25,"調合の概念を学ぶための書物。
所持することで、
調合の成功確率アップ。",
26,"調合の初歩を学ぶための書物。
調合書①と合わせ持つ
ことで調合の成功確率アップ。",
27,"調合の基礎を学ぶための書物。
調合書①②と合わせ持つ
ことで調合の成功確率アップ。",
28,"調合の応用を学ぶための書物。
調合書①②③と合わせ持つ
ことで調合の成功確率アップ。",
29,"調合の全てを学ぶための書物。
調合書①②③④と合わせ持つ
ことで調合の成功確率アップ。",
30,"これ一冊あれば、あなたも
錬金術が使えます！
何が作れるかはお楽しみ。",
31,体力を少量回復する薬。,
32,体力を中量回復する薬。,
33,"体力の上限を微量に
上昇させる薬。",
34,"体力の上限を少量、
上昇させる薬。",
35,"１００％の確率で毒状態を
回復する薬。",
36,自然回復力を高める薬。,
37,"一定時間疲れることなく走り
続けることができる薬。",
38,"狂走エキスのはたらきにより、
強走薬よりも、更に長い時間
走り続けることができる薬。",
39,"攻撃力を上昇させる薬。
鬼のごとき力を得る。",
40,"鬼人薬を上回る攻撃力を
得ると伝えられる幻の薬。",
41,"一時的に鬼神のごとき力を
得る事のできる、強力な丸薬。",
42,"防御力を上昇させる薬。
岩石のごとく皮膚が硬質化
する。",
43,"硬化薬を上回る防御力を
得ると伝えられる幻の薬。",
44,"一時的に鋼のごとく皮膚が
硬質化する、強力な丸薬。",
45,一定時間暑さを緩和する飲料。,
46,一定時間寒さを緩和する飲料。,
47,"短時間ではあるが、第六感が
研ぎ澄まされ、モンスターの
生態を感知する事ができる。",
48,"虫が吸った生物の体液。
虫の消化液と混ざることで、
接着剤としての効能がある。",
49,"モンスターの体液の、さらに
濃い部分だけをすくった汁。
かなり濃厚。",
50,"１００％の確率で毒状態を
回復し、同時に体力を微量
回復する薬。",
51,"体力の上限が最大まで上昇し、
完全回復する薬。",
52,"体力とスタミナの上限が最大
まで上昇し、完全回復する薬。",
53,"素材や薬品の持つ効力を、
最大限に引き出す薬剤。
単品では使用不可能。",
54,"疲れた体にこの１本！
飲むとスタミナが回復する。
ギルド公認のドリンク。",
55,ダミー。,
56,"衝撃や熱を加えることで、
爆発を引き起こす危険な薬。",
57,"生命のみなもととして
あがめられる不思議な粉。",
