index,source,target
0,dummy,
1,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
2,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
3,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
4,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
5,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
6,"条件達成時に
{c05}≪調合屋≫{/c}
から入手可能。","Available for purchase 
from the {c05}Combiner 
{c02}After certain conditions{/c}."
7,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
8,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
9,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
10,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",Trading: {c05}GCP {/c}points.
11,"{c05}≪総合ショップ≫
{/c}から入手可能。","Available for purchase 
from the {c05}General Store{/c}."
12,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
13,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
14,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",Trading: {c05}GCP {/c}points.
15,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
16,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",Trading: {c05}GCP {/c}points.
17,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
18,"{c05}≪調合≫
{/c}することで入手可能。",Obtained from {c05}Combining{/c}.
19,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",Trading: {c05}GCP {/c}points.
