index,source,target
0,"{/c}◇◇◇◇◇　前書き　◇◇◇◇◇
狩猟笛の≪旋律≫には
いくつもの種類があり、
その組み合わせで、いろいろな
効果が発動します。
次のページからその旋律の
組み合わせと、その効果の一覧を
載せています。
覚えて一流の狩猟笛使いを
目指しましょう。
◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇◇◇ Introduction ◇◇◇◇
There are many different types
of <melodies> playable with a
Hunting Horn. Each sequence
triggers unique effects.
The following pages are a
guide to these melodies and
the effects they can cause.
Remember them, and you will be
well on your way to becoming a
top-class Hunting Horn player!
◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
1,"{/c}◇◇◇◇　　旋律表　　◇◇◇◇
≪自分強化≫
　移動速度がＵＰ
　　　　　　　{/c}♪→♪{/c}　
　　　　　　　{c07}♪{/c}→{c07}♪{/c}

≪自分強化≫
　攻撃がはじかれにくくなる
　　　　{/c}♪→♪　後　♪→♪{/c}
　　　　{c07}♪{/c}→{c07}♪{/c}　後　{c07}♪{/c}→{c07}♪{/c}
◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇◇◇ Melodies ◇◇◇◇
<Self Buff>
 Increase movement speed: 
  {/c}♪→♪{/c}　
  {c07}♪{/c}→{c07}♪{/c}
<Self Buff>
 Make your attacks harder
 to repel:
  {/c}♪→♪ then ♪→♪{/c}
  {c07}♪{/c}→{c07}♪{/c} then {c07}♪{/c}→{c07}♪{/c}
◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
2,"{/c}◇◇◇◇　　旋律表　　◇◇◇◇


≪千里眼≫
　モンスターの生態を
　感知することができる
　　　　{c20}♪{/c}→{c20}♪{/c}→{c04}♪{/c}



◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇◇◇ Melodies ◇◇◇◇


<PsychicVis>
 Discern a monster's habits:
  {c20}♪{/c}→{c20}♪{/c}→{c04}♪{/c}



◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
3,"{/c}◇◇　旋律表（グループ）　◇◇
※ここからの旋律は、まわりの
ハンターにも効果があります。

 攻撃力UP【小】{/c}♪{/c}→{c02}♪{/c}
 攻撃力UP【大】{c07}♪{/c}→{c02}♪{/c}→{c02}♪{/c}
 防御力UP【小】{c02}♪{/c}→{c05}♪{/c}
 防御力UP【大】{c02}♪{/c}→{c03}♪{/c}→{c02}♪{/c}
 　　　　　　　{c02}♪{/c}→{c04}♪{/c}→{c04}♪{/c}→{c07}♪{/c}

◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇ Melodies (Group Buff) ◇◇
*The songs from here on also
affect nearby Hunters.

 Attack Up [Lo]: {/c}♪{/c}→{c02}♪{/c}
 Attack Up [Hi]: {c07}♪{/c}→{c02}♪{/c}→{c02}♪{/c}
 Defense Up [Lo]: {c02}♪{/c}→{c05}♪{/c}
 Defense Up [Hi]: {c02}♪{/c}→{c03}♪{/c}→{c02}♪{/c}
        {c02}♪{/c}→{c04}♪{/c}→{c04}♪{/c}→{c07}♪{/c}

◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
4,"{/c}◇◇　旋律表（グループ）　◇◇

 体力ＵＰ【小】{c02}♪{/c}→{c20}♪{/c}→{/c}♪{/c}
 体力ＵＰ【中】{c02}♪{/c}→{c02}♪{/c}→{c04}♪{/c}
 体力ＵＰ【大】{c02}♪{/c}→{c20}♪{/c}→{c02}♪{/c}→{c07}♪{/c}





◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇ Melodies (Group Buff) ◇◇

 Health Inc [Lo]: {c02}♪{/c}→{c20}♪{/c}→{/c}♪{/c}
 Health Inc [Mid]: {c02}♪{/c}→{c02}♪{/c}→{c04}♪{/c}
 Health Inc [Hi]: {c02}♪{/c}→{c20}♪{/c}→{c02}♪{/c}→{c07}♪{/c}





◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
5,"{/c}◇◇　旋律表（グループ）　◇◇

 風圧軽減　　　{c20}♪{/c}→{c20}♪{/c}→{c02}♪{/c}
 風圧無効　　　{c20}♪{/c}→{c20}♪{/c}→{c03}♪{/c}
 　　　　　　　{c20}♪{/c}→{c04}♪{/c}→{c20}♪{/c}
 風圧完全無効　{c20}♪{/c}→{c20}♪{/c}→{c05}♪{/c}→{c07}♪{/c}




◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇ Melodies (Group Buff) ◇◇

 Reduce Wind:   {c20}♪{/c}→{c20}♪{/c}→{c02}♪{/c}
 Negate Wind:   {c20}♪{/c}→{c20}♪{/c}→{c03}♪{/c}
           {c20}♪{/c}→{c04}♪{/c}→{c20}♪{/c}
 Fully Negate Wind:   {c20}♪{/c}→{c20}♪{/c}→{c05}♪{/c}→{c07}♪{/c}




◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
6,"{/c}◇◇　旋律表（グループ）　◇◇

 怯み無効　　　{c20}♪{/c}→{c07}♪{/c}→{c05}♪{/c}→{c20}♪{/c}
 　　　　　　　{c20}♪{/c}→{c03}♪{/c}→{c20}♪{/c}→{c07}♪{/c}






◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇ Melodies (Group Buff) ◇◇

 Negate Flinch: {c20}♪{/c}→{c07}♪{/c}→{c05}♪{/c}→{c20}♪{/c}
         {c20}♪{/c}→{c03}♪{/c}→{c20}♪{/c}→{c07}♪{/c}






◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
7,"{/c}◇◇　旋律表（グループ）　◇◇

 強走効果【小】{/c}♪{/c}→{c20}♪{/c}
 強走効果【大】{c07}♪{/c}→{c20}♪{/c}→{c20}♪{/c}

 体力回復【小】{c07}♪{/c}→{c03}♪{/c}
 体力回復【中】{c03}♪{/c}→{c07}♪{/c}→{c05}♪{/c}
 体力回復【大】{c03}♪{/c}→{c03}♪{/c}→{c07}♪{/c}→{c04}♪{/c}


◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇ Melodies (Group Buff) ◇◇

 Dash [Lo]: {/c}♪{/c}→{c20}♪{/c}
 Dash [Hi]: {c07}♪{/c}→{c20}♪{/c}→{c20}♪{/c}

 Health Rec: [Lo]  {c07}♪{/c}→{c03}♪{/c}
 Health Rec: [Mid] {c03}♪{/c}→{c07}♪{/c}→{c05}♪{/c}
 Health Rec: [Hi]  {c03}♪{/c}→{c03}♪{/c}→{c07}♪{/c}→{c04}♪{/c}


◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
8,"{/c}◇◇　旋律表（グループ）　◇◇

 体力回復【小】＆解毒
 　　　　　　　{/c}♪{/c}→{c03}♪{/c}
 体力回復【中】＆解毒
 　　　　　　　{c03}♪{/c}→{c20}♪{/c}→{c07}♪{/c}→{c20}♪{/c}
 体力回復【中】＆消臭
 　　　　　　　{c03}♪{/c}→{/c}♪{/c}→{c04}♪{/c}


◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇ Melodies (Group Buff) ◇◇

 Health Rec [Lo] & Antidote:        {/c}♪{/c}→{c03}♪{/c}
 Health Rec [Mid] & Antidote:        {c03}♪{/c}→{c20}♪{/c}→{c07}♪{/c}→{c20}♪{/c}
 Health Rec [Mid] & Deodorant:        {c03}♪{/c}→{/c}♪{/c}→{c04}♪{/c}


◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
9,"{/c}◇◇　旋律表（グループ）　◇◇

 回復速度【小】{c03}♪{/c}→{c03}♪{/c}→{c05}♪{/c}
 回復速度【大】{c03}♪{/c}→{c02}♪{/c}→{c03}♪{/c}→{c07}♪{/c}

 女神の赦し　　{c03}♪{/c}→{c05}♪{/c}→{c07}♪{/c}→{c05}♪{/c}

 聴覚保護【小】{c04}♪{/c}→{c04}♪{/c}→{c02}♪{/c}
 聴覚保護【大】{c04}♪{/c}→{c04}♪{/c}→{c03}♪{/c}→{c07}♪{/c}

◇◇◇　◇◇◇　◇◇◇　◇◇◇","{/c}◇◇ Melodies (Group Buff) ◇◇

 Rec Rate Up [Lo]: {c03}♪{/c}→{c03}♪{/c}→{c05}♪{/c}
 Rec Rate Up [Hi]: {c03}♪{/c}→{c02}♪{/c}→{c03}♪{/c}→{c07}♪{/c}

 Divine Grace: {c03}♪{/c}→{c05}♪{/c}→{c07}♪{/c}→{c05}♪{/c}

 Ear Protection [Lo]: {c04}♪{/c}→{c04}♪{/c}→{c02}♪{/c}
 Ear Protection [Hi]: {c04}♪{/c}→{c04}♪{/c}→{c03}♪{/c}→{c07}♪{/c}

◇◇◇ ◇◇◇ ◇◇◇ ◇◇◇"
