index,source,target
0,"体毛は白く、外見はネコに似ている。
性格は温和だが危害を加えようもの
なら執拗に反撃してくる。
人語をある程度理解するため
人間と共に生活する姿も
よく見ることができる。
適応力が高く、季節や場所を問わず、
見かけることができる。","Bipedal creatures resembling cats 
with white fur. Though normally 
docile, they will attack viciously 
provoked. 
Naturally curious, they often enter 
society and co-exist with
humans and wyvernians.
They are naturally attracted to
Felvine and follow it anywhere."
1,"ネコに似た獣人族。黒毛が特徴。
手癖が悪く人間などから物を盗み、
自分達の集落に持ち帰ってしまう。
集落に戻る前に倒すか、集落を探せば
盗まれた物を取り戻せる事もあるとか。
マタタビを見ると盗まずにはいられ
ない。
適応力が高く、季節や場所を問わず、
見かけることができる。","Bipedal creatures resembling cats 
with black fur. More aggressive than
Felynes and possessed by kleptomania, 
Melynxes will steal any items they 
can and bring them back to their 
dens. If you can find their dens 
however, you may be able to recover 
your items. Like Felynes, they are
obssessed with Felvine."
2,"小型の獣人族が花畑で確認された。
調査によると彼らは温厚な性格で、
普段は釣りや採集をしているが、
他のモンスターとの縄張り争いが
頻繁に目撃されている。また、
大型モンスターと遭遇したところに
彼らが現れ”共に戦った”との報告も
あることから、我々のことを同じ
仲間と思っているのかもしれない…。","Bipedal creatures native to the
Flower Field. Though uncommon, 
research suggests that they are quite
peaceful, unless attacked by a 
large monster. In such a situation,
they've been observed working together
to defeat said monster. The Guild
has received reports that Uruki will
seemingly assist hunters as well."
3,"人に似た四肢を持ち、常にマスクを
かぶっている小型のモンスター。
擬態が大の得意。
熟練したハンターであっても、
擬態した彼らを見つけることは
至難の業である。
ひときわ強い族長は、
≪キングチャチャブー≫と呼ばれ、
王冠のようなものをつけている。","Small, humanoid Lynians known for
always wearing masks.
Masters of camouflage, by the
time you spot them its
usually too late! Both 
aggressive and highly social they
 are lead by a King Shakalaka
 identified by a larger mask."
4,"突然変異で巨大化した蜂の様な虫。
腹部に、マヒ性の毒針を持つ。
物理的なダメージに弱く、
素材としての形状を保ったまま、
しとめることは難しい。
主に昼間に活動し、温暖期には特に
大きな個体も目撃されている。","An enormous, wasp-like 
Neopeteron with a paralytic sting.
Easily damaged, there are rarely
any usable materials left after
dispatching one. It has been
reported however that using poison
on them yields better results."
5,"ランゴスタに比べ外殻が発達した虫。
物理的なダメージに弱いため、
素材としての形状を保ったまま
しとめるには、徐々に体力を奪う
種類の攻撃を用意する必要がある。
夜間や洞窟など暗い場所を好み、
温暖期には大きな個体も目撃されて
いる。","A large Neopeteron related to
Vespoids. They primarily dwell on
the ground of damp and dark places.
However, like their cousins, they
are easily destroyed by most
weapons. It is reported that
they are extremely susceptible
to poisons."
6,"衝撃が加わると放電するという雷光虫。
武器の素材や生活用品などに幅広く
用いられ馴染みが深いが、
その雷光虫が、古龍の体内で異常な
巨大化を遂げたもの。
放電能力が高く、非常に危険。
古龍の生息地域で、まれに見る事が
できる。","Abnormaly large Thunderbugs
raised inside of certain
Elder Dragons. Often
found in the same areas
as thier former hosts
their electric attacks are
deadly. Despite this, they
have many uses in crafting."
7,"シカのような草食モンスター。
臆病ですぐ逃げてしまうため、
その角は貴重である。
食用として狩られる事も多く、固く
しまった肉質は癖になる歯ごたえ。
特に繁殖期に多くの個体が見られ、
昼は野外で採食し、夜は洞窟など
屋内に移動する。","Small and docile Herbivores
thier horns are famously
used in a variety of medicines. 
The best way to harvest
said horns is with a blunt
weapon. During the evening
or inclement weather, they
will retreat into caves."
8,"名の由来通り、体にはコケやキノコ
などの菌類が繁殖しているブタ。
大好物のキノコを探して徘徊し、彼ら
が鼻を鳴らしてる場所ではキノコが
採れる可能性が高いとも言われる。
怒らせると突進してくるので注意。
キノコが採れる地域であれば、
ほとんどの地域に生息しているようだ。","Wild pigs covered in Moss
and various fungus.
Occasionally, whole mushrooms can
be found on them as well.
Their meat is also a 
famous delicacy. Normally
docile towards hunters
they will charge if provoked!"
9,"雪山に生息する草食モンスター。
巨大な角を持ち、普段はおとなしいが
危害を加えられると、その角を
振り立てて攻撃してくる。
良質な毛皮は、利用価値が高く、
巨大な角は、ギルドでも珍重される。
雪山であれば、季節を問わず
見ることができるだろう。","Herbivores that dwell in
cold climates. Generally docile,
they will charge if threatened. 
 Their pelts are highly prized
by the Guild as are 
their antlers. They can be
located in snowy areas
regardless of the season."
10,"反り返った巨大な牙が特徴の草食
モンスター。
群れで生活しており、群れ内の子供を
守る際には非常に勇敢になる。
その肉は栄養価が高く、特に舌は
珍味として愛好家も多い。
雪山に生息している。","Herd-forming herbivores 
covered in thick fur to 
endure the cold. Popo are
normally quite gentle, but
will use their massive
tusks to defend their young.
Their tongues are a delicacy."
11,"主に食用とされる草食のモンスター。
気弱でおとなしく、危険を察知すると
逃げ出すが、群れの中には反撃をして
くるモノもいる。
比較的適応力が高く、極端な気候の
地域を除いて、広い範囲で生息が確認
されている。","Docile Herbivores characterized by
their large crests. They live in herds
and raise their young communally,
and are popular pack animals.
Very adaptable, they are also raised
for their nutritious meat. They
are wary of Large Monsters."
12,"食料となりえるモンスター。
ただし外殻は硬く、アプトノスよりも
攻撃的なため、簡単にはその肉には
ありつけない。
卵にも価値があり、ギルドでは重宝
されている。
砂漠や火山など、気温が高い地域に
生息している。","Desert-dwelling Herbivores 
covered in armor-like hide.
Though edible, obtaining meat from 
them is difficult due
to their territorial nature. 
They are especially violent
towards any hunter who
would steal their eggs."
13,"非常に温厚でおとなしい
高地に住む草食のモンスター。
仲間意識が強く、群れの仲間に
危害を加えられると団結して
一斉に反撃を始める。
高地にしか住んでいないのは
食料となる草に関係があるのではないか
と言われているが、詳細は不明。","Peaceful Herbivores with shaggy
coats of fur. They are
found in herds roaming the
Highlands. Normally docile
they will attack as a
group if threatened. It is
reported that they are
often shepherded by a Gurenzeburu."
