index,source,target
0,"Yeah! We're finally heading out!
We don't know what awaits us from here on.
You better go in fully armed!",
1,"Come on, hurry up and exchange for items
with those Gems! Once you leave you can't
come back here, so choose carefully!",
2,Later. Wish ya luck!,
3,"オウ！長旅、お疲れさま。到着したぜ！
目の前のでかい建物がお目当ての{c05}≪天廊≫{/c}だ。",
4,演習とはいえ、念のため準備は万全にして行った方がいいぜ！ということで、さぁ、早速ジェムと交換するアイテムを選んでくれ！,
5,"ジェムについてはバッチリか？
調査の詳細については、この先で待っている天廊管理役のところに行って教わってくれ！",
6,"おっと、１つ言い残していたぜ。
一度出発したらここにはもう戻れないぞ。物資は天廊内でも調達できるが、最低限の準備は忘れずにな！",
7,"ん？ジェムとは何かって？
簡単に言えば、調査に必要な物資と交換するために支給されるものってところだな。",
8,"まあ、習うより慣れろ、だ。
来た時に受け取ったジェムがあるだろ。
試しに使ってみたらどうだ？",
9,それじゃあ、頑張れよ。健闘を祈るぜ！,
10,"オウ！演習とはいえ、念のため
準備は万全にして行った方がいいぜ！
ということで、さぁ、早速ジェムと
交換するアイテムを選んでくれ！",
